Age,Gender,Item_Purchased,Category,Season,Payment_Method,Shipping_Type
31,Male,Dress,Clothing,Winter,Debit Card,Store Pickup
49,Male,Jeans,Clothing,Spring,Cash,Standard
69,Male,Sweater,Clothing,Spring,Debit Card,Standard
65,Male,Shorts,Clothing,Spring,Cash,2-Day Shipping
41,Male,Shirt,Clothing,Winter,PayPal,2-Day Shipping
37,Male,Belt,Accessories,Summer,Credit Card,Free Shipping
70,Male,Coat,Outerwear,Summer,Venmo,Express
63,Male,Sneakers,Footwear,Fall,Venmo,Standard
55,Male,Shirt,Clothing,Spring,PayPal,2-Day Shipping
52,Male,Socks,Clothing,Winter,Credit Card,Standard
22,Male,Jeans,Clothing,Winter,Credit Card,Express
54,Male,Jeans,Clothing,Spring,PayPal,Express
28,Male,Sneakers,Footwear,Summer,Bank Transfer,Standard
67,Male,Dress,Clothing,Winter,Bank Transfer,Store Pickup
59,Male,Boots,Footwear,Fall,Venmo,2-Day Shipping
26,Male,T-shirt,Clothing,Fall,Credit Card,Store Pickup
24,Male,Coat,Outerwear,Winter,Cash,Standard
62,Male,Skirt,Clothing,Winter,Venmo,Standard
70,Male,Sneakers,Footwear,Spring,Debit Card,Store Pickup
45,Male,Jeans,Clothing,Spring,Bank Transfer,Express
58,Male,Hoodie,Clothing,Fall,Credit Card,Store Pickup
31,Male,Shoes,Footwear,Summer,Debit Card,Free Shipping
32,Male,Shorts,Clothing,Summer,Debit Card,Express
36,Male,Blouse,Clothing,Fall,Bank Transfer,Free Shipping
25,Male,T-shirt,Clothing,Winter,Venmo,Next Day Air
48,Male,Belt,Accessories,Spring,PayPal,Store Pickup
39,Male,Handbag,Accessories,Winter,Bank Transfer,2-Day Shipping
26,Male,Dress,Clothing,Winter,Cash,Express
32,Male,Hat,Accessories,Winter,PayPal,Next Day Air
54,Male,Belt,Accessories,Spring,Debit Card,Express
38,Male,Boots,Footwear,Summer,Debit Card,Store Pickup
46,Male,Coat,Outerwear,Spring,PayPal,Next Day Air
57,Male,Blouse,Clothing,Winter,Cash,Store Pickup
49,Male,Hat,Accessories,Summer,Venmo,Express
33,Male,Jeans,Clothing,Summer,Cash,Standard
54,Male,Backpack,Accessories,Winter,Cash,Free Shipping
47,Male,Dress,Clothing,Summer,Venmo,Express
36,Male,Hat,Accessories,Fall,Bank Transfer,2-Day Shipping
68,Male,Sunglasses,Accessories,Spring,Credit Card,2-Day Shipping
60,Male,Hat,Accessories,Fall,Venmo,Standard
55,Male,Dress,Clothing,Summer,Venmo,Free Shipping
29,Male,Shirt,Clothing,Spring,Venmo,2-Day Shipping
38,Male,Scarf,Accessories,Spring,Bank Transfer,Store Pickup
70,Male,Sneakers,Footwear,Winter,Cash,Free Shipping
36,Male,Skirt,Clothing,Spring,Cash,Standard
18,Male,Jewelry,Accessories,Spring,Debit Card,Standard
62,Male,Boots,Footwear,Fall,Venmo,Next Day Air
29,Male,Sunglasses,Accessories,Spring,Cash,Standard
21,Male,Boots,Footwear,Spring,Cash,2-Day Shipping
42,Male,Sandals,Footwear,Spring,Bank Transfer,Next Day Air
43,Male,Boots,Footwear,Spring,Debit Card,Store Pickup
58,Male,Dress,Clothing,Spring,Cash,Express
27,Male,Hoodie,Clothing,Summer,Debit Card,Store Pickup
57,Male,Shorts,Clothing,Summer,Debit Card,Next Day Air
40,Male,Coat,Outerwear,Fall,Debit Card,Express
45,Male,Jeans,Clothing,Winter,PayPal,Free Shipping
47,Male,Sunglasses,Accessories,Summer,Bank Transfer,Next Day Air
61,Male,Sneakers,Footwear,Winter,Venmo,Standard
60,Male,Jacket,Outerwear,Fall,Venmo,2-Day Shipping
69,Male,Skirt,Clothing,Spring,Credit Card,2-Day Shipping
58,Male,Sweater,Clothing,Summer,Bank Transfer,2-Day Shipping
34,Male,T-shirt,Clothing,Fall,PayPal,Express
20,Male,Belt,Accessories,Spring,Credit Card,Express
56,Male,Gloves,Accessories,Summer,Cash,Standard
64,Male,Hat,Accessories,Fall,Venmo,Store Pickup
56,Male,Boots,Footwear,Spring,Bank Transfer,Free Shipping
27,Male,Belt,Accessories,Spring,Debit Card,Next Day Air
35,Male,Coat,Outerwear,Summer,Venmo,Standard
24,Male,Hat,Accessories,Winter,Credit Card,Free Shipping
26,Male,Shoes,Footwear,Summer,Cash,Free Shipping
32,Male,Handbag,Accessories,Fall,Credit Card,Express
54,Male,Scarf,Accessories,Spring,Credit Card,Store Pickup
62,Male,Handbag,Accessories,Summer,PayPal,Express
50,Male,Pants,Clothing,Winter,Venmo,2-Day Shipping
70,Male,Shoes,Footwear,Spring,Bank Transfer,Store Pickup
48,Male,Sunglasses,Accessories,Spring,PayPal,Store Pickup
20,Male,Shorts,Clothing,Spring,Debit Card,Standard
46,Male,Jacket,Outerwear,Winter,Credit Card,Express
51,Male,Sandals,Footwear,Winter,Cash,Store Pickup
53,Male,Shoes,Footwear,Fall,PayPal,Express
44,Male,Jewelry,Accessories,Spring,Venmo,2-Day Shipping
29,Male,Sandals,Footwear,Summer,Bank Transfer,Standard
64,Male,Pants,Clothing,Spring,Debit Card,Express
51,Male,Shoes,Footwear,Spring,Venmo,Next Day Air
50,Male,Socks,Clothing,Spring,Venmo,Standard
43,Male,Socks,Clothing,Winter,Credit Card,Express
61,Male,Dress,Clothing,Fall,Credit Card,Standard
55,Male,Shoes,Footwear,Spring,Credit Card,Store Pickup
56,Male,Hat,Accessories,Fall,Cash,Store Pickup
33,Male,Backpack,Accessories,Summer,Cash,2-Day Shipping
43,Male,Backpack,Accessories,Winter,Credit Card,Store Pickup
21,Male,Pants,Clothing,Summer,Credit Card,Next Day Air
58,Male,Gloves,Accessories,Spring,Venmo,Standard
41,Male,Scarf,Accessories,Spring,Cash,Store Pickup
39,Male,Hoodie,Clothing,Summer,Bank Transfer,Express
54,Male,Jeans,Clothing,Spring,PayPal,2-Day Shipping
43,Male,Backpack,Accessories,Spring,PayPal,Next Day Air
28,Male,Sandals,Footwear,Summer,Cash,Express
59,Male,Belt,Accessories,Summer,Bank Transfer,2-Day Shipping
28,Male,Shoes,Footwear,Summer,Bank Transfer,Standard
68,Male,Gloves,Accessories,Summer,Debit Card,Standard
20,Male,Belt,Accessories,Summer,Cash,Express
21,Male,Jacket,Outerwear,Fall,Cash,Express
50,Male,Dress,Clothing,Spring,Credit Card,Next Day Air
32,Male,Shirt,Clothing,Winter,Debit Card,Standard
24,Male,Scarf,Accessories,Fall,Bank Transfer,Express
55,Male,Coat,Outerwear,Winter,Credit Card,2-Day Shipping
61,Male,Handbag,Accessories,Winter,Cash,Store Pickup
61,Male,Sunglasses,Accessories,Winter,Bank Transfer,Free Shipping
28,Male,T-shirt,Clothing,Summer,Debit Card,Free Shipping
60,Male,Shirt,Clothing,Winter,Bank Transfer,Free Shipping
49,Male,Handbag,Accessories,Winter,Venmo,Express
33,Male,Jewelry,Accessories,Summer,Cash,Next Day Air
45,Male,Hoodie,Clothing,Summer,Venmo,Standard
29,Male,Gloves,Accessories,Spring,Credit Card,2-Day Shipping
58,Male,Coat,Outerwear,Winter,Credit Card,Next Day Air
22,Male,Sandals,Footwear,Spring,Cash,Free Shipping
55,Male,Boots,Footwear,Fall,Bank Transfer,Free Shipping
19,Male,Pants,Clothing,Spring,Credit Card,Free Shipping
68,Male,Socks,Clothing,Fall,Venmo,Next Day Air
61,Male,Blouse,Clothing,Fall,Venmo,Express
68,Male,Handbag,Accessories,Fall,Credit Card,2-Day Shipping
52,Male,Jewelry,Accessories,Spring,Bank Transfer,Standard
41,Male,Pants,Clothing,Fall,Bank Transfer,Express
29,Male,Belt,Accessories,Fall,PayPal,Standard
68,Male,Jeans,Clothing,Fall,Venmo,Next Day Air
36,Male,Shirt,Clothing,Summer,Venmo,Next Day Air
55,Male,Belt,Accessories,Spring,Venmo,Next Day Air
28,Male,Jeans,Clothing,Spring,Bank Transfer,2-Day Shipping
39,Male,Jeans,Clothing,Summer,Credit Card,Next Day Air
54,Male,Sweater,Clothing,Fall,Cash,2-Day Shipping
40,Male,Sneakers,Footwear,Winter,Credit Card,Standard
31,Male,Socks,Clothing,Fall,Debit Card,Standard
30,Male,Socks,Clothing,Fall,Cash,Standard
45,Male,Sunglasses,Accessories,Fall,Credit Card,Store Pickup
48,Male,Sneakers,Footwear,Winter,Credit Card,Next Day Air
45,Male,Socks,Clothing,Fall,PayPal,Free Shipping
60,Male,Shoes,Footwear,Fall,Venmo,2-Day Shipping
59,Male,Blouse,Clothing,Spring,Cash,2-Day Shipping
18,Male,Shorts,Clothing,Winter,Debit Card,Express
70,Male,Jacket,Outerwear,Spring,PayPal,Next Day Air
20,Male,Sweater,Clothing,Winter,Debit Card,2-Day Shipping
65,Male,Jacket,Outerwear,Spring,Bank Transfer,2-Day Shipping
29,Male,Scarf,Accessories,Summer,Credit Card,Next Day Air
22,Male,Jacket,Outerwear,Winter,Venmo,Standard
27,Male,Sweater,Clothing,Summer,PayPal,Next Day Air
36,Male,Coat,Outerwear,Summer,Debit Card,Free Shipping
59,Male,Boots,Footwear,Fall,Venmo,Next Day Air
62,Male,Hoodie,Clothing,Summer,Bank Transfer,Free Shipping
34,Male,Hat,Accessories,Spring,Debit Card,Express
59,Male,T-shirt,Clothing,Spring,Cash,Store Pickup
49,Male,Coat,Outerwear,Winter,Credit Card,Store Pickup
18,Male,Dress,Clothing,Summer,Venmo,2-Day Shipping
55,Male,Shirt,Clothing,Fall,Bank Transfer,Standard
38,Male,Skirt,Clothing,Fall,Credit Card,Next Day Air
50,Male,Jewelry,Accessories,Summer,Venmo,Free Shipping
61,Male,Hat,Accessories,Summer,Cash,Express
48,Male,Shorts,Clothing,Fall,Bank Transfer,Express
22,Male,Scarf,Accessories,Spring,Cash,Store Pickup
48,Male,Jewelry,Accessories,Fall,PayPal,Standard
57,Male,Sunglasses,Accessories,Summer,Debit Card,Next Day Air
33,Male,Coat,Outerwear,Spring,Bank Transfer,Standard
58,Male,Jacket,Outerwear,Winter,Cash,Standard
37,Male,Sweater,Clothing,Fall,Cash,Express
18,Male,Coat,Outerwear,Summer,Bank Transfer,Free Shipping
65,Male,Scarf,Accessories,Fall,Bank Transfer,Express
62,Male,Belt,Accessories,Spring,Cash,Standard
54,Male,Hat,Accessories,Winter,PayPal,Next Day Air
35,Male,Backpack,Accessories,Summer,Credit Card,Store Pickup
34,Male,T-shirt,Clothing,Fall,Credit Card,Next Day Air
25,Male,Jewelry,Accessories,Winter,PayPal,Store Pickup
53,Male,Sunglasses,Accessories,Winter,PayPal,Free Shipping
45,Male,Jeans,Clothing,Winter,PayPal,Next Day Air
49,Male,Pants,Clothing,Winter,Bank Transfer,Free Shipping
40,Male,Backpack,Accessories,Spring,Debit Card,Next Day Air
38,Male,Scarf,Accessories,Spring,Bank Transfer,Store Pickup
44,Male,Sweater,Clothing,Spring,Cash,Store Pickup
68,Male,Jewelry,Accessories,Spring,Credit Card,2-Day Shipping
60,Male,Sneakers,Footwear,Winter,PayPal,2-Day Shipping
25,Male,Jewelry,Accessories,Winter,Credit Card,Next Day Air
19,Male,Coat,Outerwear,Summer,Debit Card,Free Shipping
57,Male,Coat,Outerwear,Fall,Credit Card,Standard
58,Male,Sunglasses,Accessories,Summer,Venmo,Store Pickup
49,Male,Handbag,Accessories,Spring,PayPal,Next Day Air
19,Male,Sweater,Clothing,Fall,Cash,Next Day Air
50,Male,Pants,Clothing,Spring,Debit Card,Express
30,Male,Gloves,Accessories,Fall,Cash,Free Shipping
52,Male,Sweater,Clothing,Fall,Credit Card,Express
35,Male,Hoodie,Clothing,Spring,Debit Card,Free Shipping
35,Male,Hat,Accessories,Fall,Bank Transfer,Express
33,Male,T-shirt,Clothing,Spring,Credit Card,Next Day Air
52,Male,Skirt,Clothing,Winter,Credit Card,Store Pickup
69,Male,Sneakers,Footwear,Fall,Venmo,Store Pickup
27,Male,Shorts,Clothing,Fall,Venmo,Standard
66,Male,Hoodie,Clothing,Winter,Debit Card,Next Day Air
28,Male,Hoodie,Clothing,Fall,Debit Card,Standard
22,Male,Shoes,Footwear,Summer,Bank Transfer,Next Day Air
69,Male,Hoodie,Clothing,Spring,Credit Card,Free Shipping
28,Male,Sunglasses,Accessories,Summer,Cash,Next Day Air
55,Male,Skirt,Clothing,Fall,Cash,Next Day Air
30,Male,Hat,Accessories,Fall,Bank Transfer,2-Day Shipping
67,Male,Backpack,Accessories,Winter,Venmo,Express
25,Male,Sunglasses,Accessories,Spring,PayPal,Store Pickup
49,Male,Belt,Accessories,Summer,Debit Card,Standard
34,Male,Jewelry,Accessories,Spring,Venmo,Standard
22,Male,Sneakers,Footwear,Winter,Venmo,Next Day Air
63,Male,T-shirt,Clothing,Fall,Cash,Express
70,Male,Handbag,Accessories,Spring,PayPal,2-Day Shipping
36,Male,Hat,Accessories,Fall,Debit Card,Store Pickup
42,Male,Sweater,Clothing,Spring,Debit Card,Express
27,Male,Sandals,Footwear,Summer,Debit Card,2-Day Shipping
23,Male,Scarf,Accessories,Winter,Venmo,Standard
50,Male,Shirt,Clothing,Spring,Venmo,Store Pickup
56,Male,Gloves,Accessories,Winter,PayPal,Next Day Air
37,Male,Hoodie,Clothing,Winter,Credit Card,Express
67,Male,Jewelry,Accessories,Summer,Cash,Standard
67,Male,Shirt,Clothing,Spring,Credit Card,Express
50,Male,Hoodie,Clothing,Spring,PayPal,Store Pickup
36,Male,Shoes,Footwear,Winter,PayPal,2-Day Shipping
62,Male,T-shirt,Clothing,Summer,Bank Transfer,Express
65,Male,Skirt,Clothing,Winter,PayPal,2-Day Shipping
23,Male,Handbag,Accessories,Summer,Debit Card,Free Shipping
46,Male,Shirt,Clothing,Winter,Credit Card,2-Day Shipping
18,Male,Pants,Clothing,Summer,Venmo,Express
58,Male,Coat,Outerwear,Spring,PayPal,Standard
31,Male,Jeans,Clothing,Winter,Cash,Store Pickup
39,Male,Gloves,Accessories,Winter,Debit Card,Next Day Air
69,Male,T-shirt,Clothing,Spring,Cash,Store Pickup
68,Male,Boots,Footwear,Winter,Cash,Standard
41,Male,Jeans,Clothing,Fall,PayPal,2-Day Shipping
31,Male,Sneakers,Footwear,Summer,Venmo,Express
48,Male,Sneakers,Footwear,Summer,Debit Card,Standard
59,Male,Hat,Accessories,Winter,PayPal,Next Day Air
34,Male,Pants,Clothing,Spring,Bank Transfer,Store Pickup
21,Male,Jewelry,Accessories,Spring,Cash,Store Pickup
29,Male,Jewelry,Accessories,Winter,Debit Card,Next Day Air
41,Male,Blouse,Clothing,Spring,Bank Transfer,Express
62,Male,Handbag,Accessories,Fall,Cash,Standard
27,Male,Shirt,Clothing,Summer,PayPal,Free Shipping
49,Male,Dress,Clothing,Spring,Venmo,2-Day Shipping
67,Male,T-shirt,Clothing,Fall,Debit Card,Express
20,Male,Shoes,Footwear,Summer,PayPal,Express
37,Male,Belt,Accessories,Fall,Credit Card,Standard
69,Male,Belt,Accessories,Summer,Venmo,2-Day Shipping
66,Male,Handbag,Accessories,Fall,Debit Card,2-Day Shipping
37,Male,Scarf,Accessories,Summer,Cash,Next Day Air
63,Male,Shorts,Clothing,Fall,Bank Transfer,2-Day Shipping
47,Male,Sandals,Footwear,Winter,Venmo,Express
26,Male,Pants,Clothing,Summer,Credit Card,2-Day Shipping
68,Male,Dress,Clothing,Winter,Credit Card,Standard
51,Male,T-shirt,Clothing,Winter,Cash,Next Day Air
48,Male,Dress,Clothing,Winter,Cash,Store Pickup
60,Male,Socks,Clothing,Summer,PayPal,Free Shipping
68,Male,Scarf,Accessories,Summer,PayPal,Standard
25,Male,Backpack,Accessories,Fall,Venmo,2-Day Shipping
57,Male,Skirt,Clothing,Spring,Bank Transfer,Express
41,Male,Socks,Clothing,Spring,Bank Transfer,Next Day Air
59,Male,Coat,Outerwear,Spring,Credit Card,Store Pickup
44,Male,Jewelry,Accessories,Winter,Credit Card,Express
42,Male,Backpack,Accessories,Winter,Cash,Express
35,Male,Belt,Accessories,Spring,Credit Card,Store Pickup
36,Male,Dress,Clothing,Winter,Credit Card,Free Shipping
54,Male,Skirt,Clothing,Spring,Cash,Standard
37,Male,Dress,Clothing,Spring,Credit Card,Express
20,Male,T-shirt,Clothing,Summer,Debit Card,Free Shipping
23,Male,Skirt,Clothing,Spring,Cash,Standard
61,Male,Shorts,Clothing,Summer,Cash,Free Shipping
37,Male,Jewelry,Accessories,Spring,Debit Card,Express
23,Male,Pants,Clothing,Spring,PayPal,2-Day Shipping
63,Male,Belt,Accessories,Fall,Bank Transfer,Express
47,Male,Jeans,Clothing,Spring,Debit Card,Standard
63,Male,Jeans,Clothing,Summer,Cash,2-Day Shipping
56,Male,Hat,Accessories,Fall,Cash,Express
68,Male,Blouse,Clothing,Summer,Credit Card,Next Day Air
64,Male,Shirt,Clothing,Summer,Venmo,Free Shipping
62,Male,Shirt,Clothing,Winter,Bank Transfer,Next Day Air
34,Male,T-shirt,Clothing,Winter,Debit Card,Free Shipping
49,Male,Coat,Outerwear,Summer,PayPal,2-Day Shipping
40,Male,Jacket,Outerwear,Fall,Venmo,2-Day Shipping
50,Male,Hoodie,Clothing,Winter,Debit Card,2-Day Shipping
25,Male,Scarf,Accessories,Winter,Cash,2-Day Shipping
30,Male,Belt,Accessories,Winter,PayPal,2-Day Shipping
54,Male,Sneakers,Footwear,Fall,Debit Card,Standard
40,Male,Socks,Clothing,Summer,Bank Transfer,2-Day Shipping
49,Male,Sandals,Footwear,Fall,Credit Card,Free Shipping
27,Male,Coat,Outerwear,Winter,Bank Transfer,Store Pickup
27,Male,Shoes,Footwear,Summer,Cash,2-Day Shipping
48,Male,Scarf,Accessories,Spring,Bank Transfer,Standard
40,Male,Sneakers,Footwear,Winter,Bank Transfer,Free Shipping
67,Male,Belt,Accessories,Spring,Bank Transfer,2-Day Shipping
52,Male,Handbag,Accessories,Spring,Credit Card,Standard
22,Male,Handbag,Accessories,Fall,Cash,Free Shipping
62,Male,Boots,Footwear,Summer,Venmo,Next Day Air
20,Male,Boots,Footwear,Winter,Cash,2-Day Shipping
41,Male,Pants,Clothing,Winter,PayPal,Next Day Air
34,Male,Sunglasses,Accessories,Fall,PayPal,Next Day Air
23,Male,Hoodie,Clothing,Spring,Venmo,Store Pickup
32,Male,Shoes,Footwear,Summer,Venmo,Free Shipping
68,Male,Handbag,Accessories,Spring,Cash,Express
30,Male,Jacket,Outerwear,Fall,Cash,Free Shipping
66,Male,Blouse,Clothing,Winter,Cash,2-Day Shipping
62,Male,Pants,Clothing,Summer,PayPal,Free Shipping
50,Male,Boots,Footwear,Fall,Debit Card,Free Shipping
55,Male,Boots,Footwear,Spring,Venmo,Store Pickup
19,Male,Sweater,Clothing,Winter,Bank Transfer,Next Day Air
67,Male,Gloves,Accessories,Winter,Bank Transfer,Express
18,Male,Socks,Clothing,Winter,Bank Transfer,Standard
58,Male,Jeans,Clothing,Fall,Bank Transfer,Store Pickup
69,Male,Pants,Clothing,Winter,Credit Card,Free Shipping
62,Male,Shorts,Clothing,Summer,Bank Transfer,Store Pickup
28,Male,Gloves,Accessories,Fall,Credit Card,Free Shipping
53,Male,Sandals,Footwear,Fall,PayPal,Store Pickup
27,Male,Blouse,Clothing,Spring,Venmo,Store Pickup
55,Male,Jacket,Outerwear,Winter,Venmo,Express
34,Male,Jewelry,Accessories,Winter,Venmo,Express
25,Male,Hat,Accessories,Spring,Debit Card,Standard
66,Male,Socks,Clothing,Spring,Credit Card,2-Day Shipping
57,Male,Handbag,Accessories,Summer,Cash,Free Shipping
46,Male,Pants,Clothing,Winter,Cash,Next Day Air
38,Male,Gloves,Accessories,Fall,Cash,Store Pickup
23,Male,Sweater,Clothing,Spring,Bank Transfer,Store Pickup
42,Male,Hat,Accessories,Summer,PayPal,Store Pickup
25,Male,Dress,Clothing,Spring,Credit Card,2-Day Shipping
55,Male,Pants,Clothing,Winter,PayPal,Express
62,Male,Coat,Outerwear,Spring,PayPal,Standard
41,Male,Scarf,Accessories,Winter,Debit Card,Store Pickup
58,Male,Hoodie,Clothing,Winter,Cash,Express
56,Male,Socks,Clothing,Summer,Bank Transfer,Next Day Air
25,Male,Blouse,Clothing,Spring,PayPal,Store Pickup
70,Male,Socks,Clothing,Summer,Cash,2-Day Shipping
42,Male,Dress,Clothing,Fall,Bank Transfer,Standard
27,Male,Hoodie,Clothing,Winter,Credit Card,Standard
65,Male,T-shirt,Clothing,Spring,Bank Transfer,Express
62,Male,Hat,Accessories,Winter,Credit Card,Free Shipping
62,Male,Boots,Footwear,Winter,PayPal,Express
52,Male,Jeans,Clothing,Winter,Cash,Free Shipping
56,Male,Shorts,Clothing,Spring,Debit Card,Next Day Air
28,Male,Sandals,Footwear,Fall,Venmo,Standard
39,Male,Sandals,Footwear,Winter,Venmo,Express
54,Male,Sneakers,Footwear,Spring,Cash,2-Day Shipping
30,Male,Hat,Accessories,Fall,Credit Card,Standard
45,Male,Coat,Outerwear,Winter,Cash,Express
68,Male,Dress,Clothing,Spring,Cash,Free Shipping
47,Male,Boots,Footwear,Spring,Debit Card,2-Day Shipping
68,Male,Skirt,Clothing,Fall,Bank Transfer,Standard
63,Male,Shirt,Clothing,Spring,Venmo,Store Pickup
20,Male,Shirt,Clothing,Summer,Venmo,Next Day Air
29,Male,Boots,Footwear,Winter,Debit Card,Store Pickup
41,Male,Hoodie,Clothing,Winter,Bank Transfer,2-Day Shipping
52,Male,Sweater,Clothing,Winter,Venmo,Next Day Air
32,Male,Shirt,Clothing,Spring,Bank Transfer,Next Day Air
20,Male,Blouse,Clothing,Fall,Cash,Standard
47,Male,T-shirt,Clothing,Spring,Credit Card,Standard
23,Male,Jacket,Outerwear,Winter,Venmo,Next Day Air
43,Male,Jewelry,Accessories,Spring,PayPal,Standard
67,Male,Hoodie,Clothing,Fall,Cash,Standard
70,Male,Jewelry,Accessories,Spring,Cash,Store Pickup
35,Male,Sandals,Footwear,Winter,Debit Card,Express
41,Male,Jeans,Clothing,Spring,Cash,Next Day Air
54,Male,Hat,Accessories,Spring,Cash,2-Day Shipping
55,Male,Sweater,Clothing,Fall,PayPal,Standard
51,Male,Boots,Footwear,Spring,PayPal,Next Day Air
19,Male,Blouse,Clothing,Spring,Debit Card,Express
28,Male,Shorts,Clothing,Fall,Credit Card,Next Day Air
63,Male,Hoodie,Clothing,Fall,PayPal,Express
30,Male,Pants,Clothing,Winter,PayPal,2-Day Shipping
29,Male,Belt,Accessories,Spring,Cash,Store Pickup
24,Male,Shirt,Clothing,Winter,Debit Card,Free Shipping
69,Male,Shirt,Clothing,Winter,Credit Card,2-Day Shipping
65,Male,Dress,Clothing,Spring,Bank Transfer,Express
64,Male,Gloves,Accessories,Fall,Venmo,Next Day Air
40,Male,Gloves,Accessories,Winter,Bank Transfer,Next Day Air
24,Male,Jeans,Clothing,Winter,Venmo,Standard
66,Male,Belt,Accessories,Winter,Venmo,Standard
35,Male,Jacket,Outerwear,Fall,Debit Card,Next Day Air
67,Male,Skirt,Clothing,Spring,Cash,Free Shipping
69,Male,Sandals,Footwear,Spring,Venmo,2-Day Shipping
26,Male,Belt,Accessories,Summer,Debit Card,Free Shipping
23,Male,Sweater,Clothing,Fall,Bank Transfer,Standard
27,Male,Shirt,Clothing,Summer,Credit Card,Standard
30,Male,Sneakers,Footwear,Fall,PayPal,Standard
48,Male,Jeans,Clothing,Spring,PayPal,Express
44,Male,Sandals,Footwear,Summer,Debit Card,Standard
29,Male,Pants,Clothing,Summer,Cash,Free Shipping
29,Male,Belt,Accessories,Fall,Bank Transfer,2-Day Shipping
67,Male,T-shirt,Clothing,Spring,Cash,Next Day Air
42,Male,Shirt,Clothing,Fall,Venmo,Express
23,Male,Sneakers,Footwear,Fall,Bank Transfer,Next Day Air
34,Male,Blouse,Clothing,Summer,Venmo,Next Day Air
64,Male,Backpack,Accessories,Spring,Bank Transfer,2-Day Shipping
31,Male,Pants,Clothing,Spring,Venmo,Express
54,Male,Sweater,Clothing,Winter,Cash,Next Day Air
23,Male,Coat,Outerwear,Summer,PayPal,Express
59,Male,Dress,Clothing,Summer,Credit Card,Next Day Air
32,Male,Blouse,Clothing,Summer,Bank Transfer,Store Pickup
43,Male,Hoodie,Clothing,Winter,Credit Card,Store Pickup
32,Male,Shoes,Footwear,Fall,Credit Card,Express
66,Male,T-shirt,Clothing,Winter,Venmo,Store Pickup
70,Male,Shoes,Footwear,Summer,Cash,Free Shipping
42,Male,Boots,Footwear,Summer,Venmo,Free Shipping
56,Male,Shorts,Clothing,Spring,PayPal,2-Day Shipping
28,Male,Belt,Accessories,Spring,PayPal,Standard
28,Male,Pants,Clothing,Spring,Credit Card,Free Shipping
52,Male,Shorts,Clothing,Spring,Venmo,Express
65,Male,Sunglasses,Accessories,Spring,Credit Card,Standard
56,Male,Hat,Accessories,Fall,PayPal,Free Shipping
59,Male,T-shirt,Clothing,Winter,Credit Card,Express
23,Male,Pants,Clothing,Winter,Credit Card,Next Day Air
58,Male,Shorts,Clothing,Spring,Cash,Standard
39,Male,Jewelry,Accessories,Summer,Credit Card,Free Shipping
28,Male,Backpack,Accessories,Summer,Venmo,Express
40,Male,Shoes,Footwear,Spring,Bank Transfer,Free Shipping
52,Male,Coat,Outerwear,Winter,Credit Card,Standard
37,Male,Sweater,Clothing,Winter,Debit Card,Standard
70,Male,Gloves,Accessories,Fall,PayPal,Express
30,Male,Handbag,Accessories,Fall,Credit Card,Standard
38,Male,Socks,Clothing,Spring,Credit Card,Standard
66,Male,Hoodie,Clothing,Spring,Bank Transfer,Store Pickup
29,Male,Pants,Clothing,Winter,Cash,Next Day Air
46,Male,Coat,Outerwear,Spring,Debit Card,Store Pickup
56,Male,Boots,Footwear,Fall,Credit Card,2-Day Shipping
23,Male,Sneakers,Footwear,Spring,PayPal,Store Pickup
37,Male,Sweater,Clothing,Spring,Venmo,Express
56,Male,Handbag,Accessories,Winter,Bank Transfer,Standard
36,Male,Belt,Accessories,Winter,PayPal,Next Day Air
40,Male,Belt,Accessories,Fall,Credit Card,Next Day Air
26,Male,Hoodie,Clothing,Fall,Debit Card,Standard
57,Male,Sunglasses,Accessories,Summer,Cash,2-Day Shipping
68,Male,Sneakers,Footwear,Spring,Venmo,Standard
56,Male,T-shirt,Clothing,Fall,Credit Card,Next Day Air
40,Male,Dress,Clothing,Fall,Credit Card,Standard
44,Male,Hoodie,Clothing,Winter,Credit Card,Free Shipping
44,Male,Sweater,Clothing,Summer,Venmo,2-Day Shipping
19,Male,Belt,Accessories,Spring,PayPal,Standard
21,Male,Socks,Clothing,Spring,Bank Transfer,Next Day Air
31,Male,Sunglasses,Accessories,Fall,Cash,Next Day Air
30,Male,Coat,Outerwear,Summer,Credit Card,2-Day Shipping
65,Male,Hat,Accessories,Spring,Bank Transfer,Next Day Air
39,Male,Pants,Clothing,Winter,Bank Transfer,Next Day Air
64,Male,Backpack,Accessories,Spring,Debit Card,2-Day Shipping
59,Male,Shorts,Clothing,Summer,Venmo,2-Day Shipping
49,Male,Jacket,Outerwear,Spring,Debit Card,Free Shipping
24,Male,Backpack,Accessories,Summer,Venmo,Next Day Air
19,Male,Scarf,Accessories,Spring,Debit Card,Store Pickup
27,Male,Hoodie,Clothing,Winter,Debit Card,Store Pickup
56,Male,Skirt,Clothing,Fall,Bank Transfer,Express
49,Male,Dress,Clothing,Fall,Cash,Next Day Air
41,Male,Coat,Outerwear,Fall,Cash,Express
36,Male,Blouse,Clothing,Summer,Bank Transfer,Express
68,Male,Hat,Accessories,Fall,Cash,Express
28,Male,Handbag,Accessories,Winter,PayPal,Store Pickup
45,Male,Belt,Accessories,Fall,Debit Card,Free Shipping
60,Male,Belt,Accessories,Fall,Venmo,Express
21,Male,Shirt,Clothing,Summer,Venmo,Express
32,Male,Shoes,Footwear,Winter,Cash,Standard
27,Male,Scarf,Accessories,Summer,PayPal,2-Day Shipping
